T,player,seed,map_path,run_path,score,sec,returncode
2016,1,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=1#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,-1,-1,1
2016,2,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=2#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.398,0
2016,3,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=3#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.39,0
2016,4,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=4#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.364,0
2016,5,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=5#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.465,0
2016,6,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=6#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,1,4.407,0
2016,7,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=7#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.619,0
2016,8,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=8#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.613,0
2016,9,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=9#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.356,0
2016,10,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=2016#player=10#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,4.472,0
4032,1,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=4032#player=1#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,-1,-1,1
4032,2,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=4032#player=2#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,5.351,0
4032,3,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=4032#player=3#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,1,5.306,0
4032,4,10000,tournament/maps/species=4_animals=4x2_helpers=2_ark=500x500.json,tournament/runs/T=4032#player=4#seed=10000#map_path=species=4_animals=4x2_helpers=2_ark=500x500.log,0,5.418,0
